PERMNO,date,TICKER,COMNAM,PRC,CFACPR
61241,20211018,AMD,ADVANCED MICRO DEVICES INC,116.43000,1
61241,20211019,AMD,ADVANCED MICRO DEVICES INC,116.33000,1
61241,20211020,AMD,ADVANCED MICRO DEVICES INC,116.39000,1
61241,20211021,AMD,ADVANCED MICRO DEVICES INC,119.33000,1
61241,20211022,AMD,ADVANCED MICRO DEVICES INC,119.82000,1
61241,20211025,AMD,ADVANCED MICRO DEVICES INC,122.36000,1
61241,20211026,AMD,ADVANCED MICRO DEVICES INC,122.93000,1
61241,20211027,AMD,ADVANCED MICRO DEVICES INC,122.28000,1
61241,20211028,AMD,ADVANCED MICRO DEVICES INC,121.16000,1
61241,20211029,AMD,ADVANCED MICRO DEVICES INC,120.23000,1
61241,20211101,AMD,ADVANCED MICRO DEVICES INC,125.23000,1
61241,20211102,AMD,ADVANCED MICRO DEVICES INC,127.63000,1
61241,20211103,AMD,ADVANCED MICRO DEVICES INC,130.53000,1
61241,20211104,AMD,ADVANCED MICRO DEVICES INC,137.50000,1
61241,20211105,AMD,ADVANCED MICRO DEVICES INC,136.34000,1
61241,20211108,AMD,ADVANCED MICRO DEVICES INC,150.16000,1
61241,20211109,AMD,ADVANCED MICRO DEVICES INC,148.92000,1
61241,20211110,AMD,ADVANCED MICRO DEVICES INC,139.87000,1
61241,20211111,AMD,ADVANCED MICRO DEVICES INC,146.00999,1
61241,20211112,AMD,ADVANCED MICRO DEVICES INC,147.89000,1
61241,20211115,AMD,ADVANCED MICRO DEVICES INC,146.49001,1
61241,20211116,AMD,ADVANCED MICRO DEVICES INC,152.45000,1
61241,20211117,AMD,ADVANCED MICRO DEVICES INC,151.34000,1
61241,20211118,AMD,ADVANCED MICRO DEVICES INC,155.02000,1
61241,20211119,AMD,ADVANCED MICRO DEVICES INC,155.41000,1
61241,20211122,AMD,ADVANCED MICRO DEVICES INC,152.52000,1
61241,20211123,AMD,ADVANCED MICRO DEVICES INC,149.92000,1
61241,20211124,AMD,ADVANCED MICRO DEVICES INC,157.80000,1
